UserID	Type
297	13
298	17
299	6
300	10
301	4
302	18
303	4
304	9
305	5
306	14
307	4
308	14
309	16
310	18
311	15
312	14
313	17
314	9
315	18
316	19
317	7
318	24
319	15
320	4
321	23
322	4
323	4
324	9
325	15
326	17
327	4
328	17
329	18
330	23
331	18
332	4
333	14
334	18
335	17
336	7
337	16
338	23
339	17
340	15
341	3
342	9
343	15
344	23
345	13
346	14
347	4
348	9
349	24
350	14
351	18
352	20
353	6
354	13
355	4
356	19
357	7
358	18
359	4
360	14
361	4
362	19
363	4
364	15
365	7
366	9
367	2
368	4
369	4
370	18
371	15
372	9
373	9
374	17
375	2
376	9
377	4
378	14
379	15
380	15
381	18
382	15
383	17
384	15
385	18
386	17
387	18
388	14
389	23
390	23
391	4
392	18
393	4
394	7
395	14
396	15
397	2
398	14
399	4
400	22
401	21
402	15
403	14
404	10
405	11
406	18
407	5
408	4
409	17
410	23
411	18
412	8
413	18
414	5
415	18
416	9
417	9
418	19
419	17
420	18
421	20
422	8
423	14
424	22
425	4
426	18
427	16
428	4
429	4
430	16
431	7
432	8
433	8
434	3
435	5
436	22
437	9
438	22
439	12
440	14
441	15
442	4
443	17
444	22
445	8
446	18
447	17
448	8
449	8
450	23
451	2
452	17
453	4
454	14
455	17
456	5
457	22
458	15
459	4
460	19
461	2
462	9
463	21
464	18
465	14
466	4
467	5
468	5
469	18
470	5
471	No type found
472	4
473	4
474	17
475	15
476	4
477	9
478	4
479	18
480	14
481	24
482	9
483	6
484	4
485	23
486	18
487	5
488	15
489	14
490	13
491	23
492	18
493	5
494	22
495	5
496	9
497	4
498	8
499	15
500	7
501	4
502	4
503	23
504	23
505	9
506	15
507	13
508	7
509	7
510	14
511	4
512	4
513	17
514	5
515	17
516	23
517	4
518	23
519	4
520	16
521	4
522	15
523	22
524	18
525	12
526	17
527	18
528	4
529	22
530	5
531	22
532	4
533	18
534	4
535	23
536	15
537	15
538	16
539	22
540	5
541	9
542	4
543	16
544	19
545	5
546	17
547	18
548	18
549	16
550	3
551	5
552	14
553	18
554	16
555	13
556	23
557	23
558	23
559	24
560	14
561	5
562	22
563	23
564	24
565	14
566	4
567	8
568	18
569	18
570	8
571	18
572	18
573	24
574	18
575	17
576	17
577	19
578	17
579	18
580	2
581	14
582	2
583	15
584	4
585	24
586	4
587	4
588	9
589	7
590	18
591	23
592	4
593	23
594	18
595	5
596	8
597	4
598	22
599	9
600	15
601	13
602	19
603	5
604	18
605	15
606	5
607	21
608	4
609	3
610	4
611	18
612	18
613	22
614	18
615	18
616	16
617	13
618	3
619	2
620	13
621	2
622	5
623	23
624	4
625	5
626	6
627	5
628	2
629	19
630	11
631	9
632	4
633	15
634	15
635	4
636	18
637	14
638	15
639	23
640	4
641	4
642	9
643	16
644	14
645	5
646	3
647	18
648	15
649	4
650	15
651	24
652	14
653	17
654	9
655	21
656	18
657	9
658	15
659	18
660	4
661	5
662	18
663	4
664	15
665	7
666	17
667	18
668	13
669	14
670	15
671	5
672	22
673	18
674	3
675	14
676	15
677	4
678	18
679	9
680	17
681	22
682	5
683	18
684	4
685	23
686	18
687	21
688	22
689	4
690	17
691	18
692	15
693	21
694	15
695	8
696	14
697	4
698	10
699	14
700	2
701	23
702	14
703	8
704	23
705	9
706	4
707	23
708	9
709	4
710	4
711	9
712	9
713	19
714	5
715	5
716	22
717	5
718	15
719	19
720	22
721	13
722	19
723	7
724	17
725	4
726	12
727	4
728	17
729	4
730	21
731	23
732	9
733	19
734	9
735	11
736	23
737	15
738	15
739	15
740	13
741	8
742	14
743	15
744	17
745	18
746	5
747	4
748	7
749	14
750	7
751	9
752	14
753	17
754	23
755	23
756	19
757	4
758	4
759	9
760	19
761	2
762	17
763	6
764	13
765	14
766	14
767	24
768	7
769	17
770	4
771	4
772	18
773	4
774	14
775	17
776	18
777	15
778	14
779	14
780	15
781	4
782	13
783	17
784	17
785	15
786	20
787	9
788	17
789	4
790	5
791	18
792	15
793	4
794	18
795	15
796	23
797	19
798	23
799	22
800	5
801	8
802	17
803	24
804	18
805	9
806	7
807	21
808	17
809	22
810	19
811	23
812	5
813	3
814	14
815	14
816	14
817	4
818	8
819	17
820	4
821	15
822	13
823	8
824	14
825	15
826	8
827	10
828	8
829	18
830	15
831	4
832	5
833	18
834	4
835	22
836	18
837	23
838	4
839	23
840	18
841	16
842	18
843	18
844	5
845	16
846	7
847	4
848	15
849	3
850	15
851	4
852	17
853	18
854	9
855	18
856	22
857	22
858	18
859	9
860	25
861	19
862	7
863	2
864	5
865	8
866	14
867	6
868	5
869	14
870	4
871	17
872	9
873	22
874	16
875	9
876	14
877	14
878	23
879	22
880	2
881	17
882	15
883	18
884	15
885	19
886	4
887	3
888	16
889	5
890	14
891	22
892	14
893	4
894	18
895	23
896	8
897	14
898	4
899	14
900	14
901	17
902	23
903	8
904	3
905	4
906	18
907	9
908	23
909	23
910	6
911	23
912	14
913	4
914	19
915	18
916	5
917	9
918	16
919	4
920	23
921	9
922	12
923	4
924	4
925	12
926	18
927	5
928	4
929	16
930	11
931	18
932	18
933	4
934	15
935	16
936	4
937	18
938	20
939	9
940	17
941	4
942	23
943	4
944	11
